ekavica,ijekavica
lepo,lijepo
mleko,mlijeko
vreme,vrijeme
dete,dijete
belo,bijelo
reka,rijeka
pesma,pjesma
mesto,mjesto
gde,gdje
cveće,cvijeće
beo,bijo
beležnica,bilježnica
pepeo,pepeo
reč,riječ
čežnja,čežnja
sveć,sveć
svest,svijest
mesečina,mjesečina
mesec,mjesec
nebo,nebo
neba,neba
zemlja,zemlja
selo,selo
sreća,sreća
srećno,srećno
smeh,smijeh
smešno,smiješno
rekoh,reko
rekao,rekao
reći,reći
češnjak,češnjak
čvek,čvek
mreža,mreža
pečenje,pečenje
meč,meč
devojka,djevojka
devojčica,djevojčica
odsečak,odsečak
osećaj,osjećaj
sećanje,sećanje
sećam,sećam
šećer,šećer
plemena,plemena
međ,međ
deda,djed
dedo,djedo
kanta,kanta
kazeta,kazeta
leto,ljeto
proleće,proljeće
jeto,jeto
leta,leta
mlado,mlado
mladež,mladež
mleveno,mljeveno
snežan,snježan
sneg,snijeg
snežno,snježno
lep,lijep
lepa,lijepa
lepo,lijepo
lepota,ljepota
lud,lud
luda,luda
ludo,ludo
ludilo,ludilo
muzika,muzika
muza,muza
muva,muva
muž,muž
reka,rijeka
reči,riječi
reč,riječ
pevati,pjevati
pevač,pjevač
pevačica,pjevačica
pevam,pjevam
pevao,pjevao
pev,pjev
petao,pijetao
pečat,pečat
peglanje,peglanje
meso,meso
mesa,mesa
mešati,miješati
mešovito,miješovito
meša,miješa
med,mijed
medenjaci,medenjaci
medeno,medeno
medeni,medeni
meden,meden
tečno,tečno
tečno,tečno
