term,register,region,note
bre,universal,bg,Belgrade/very common interjection
more,universal,regional,rough "hey/man" across ex-Yu
faca,colloquial,bg,good-looking/cool person
lika,colloquial,bg,person/guy
riba,colloquial,bg,girl/woman (informal; can be derogatory)
devojka,universal,universal,neutral
mala,universal,universal,pet name/address
ekipa,universal,bg,crew/group
braco,universal,bg,brothers
tetka,colloquial,bg,aunt / middle-aged woman
matori,colloquial,bg,dude/old man
klinac,colloquial,bg,kid
mali,colloquial,bg,kid
lova,street,bg,money
pare,street,bg,money
keš,street,bg,cash
mrak,universal,bg,dark/cool
ludnica,universal,bg,wild place/scene
frka,colloquial,bg,trouble
smor,colloquial,bg,boredom/annoyance
kreja,street,bg,crazy
šljaka,colloquial,bg,work/job
laf,colloquial,bg,guy
ortak,universal,bg,buddy/partner
brate,universal,bg,bro
druže,universal,universal,comrade/friend
kume,colloquial,bg,godfather/good friend
deki,street,bg,dad
ćale,street,bg,dad
keva,street,bg,mom
splav,universal,bg,river club
Taš,universal,bg,Tašmajdan park
merak,lyrical,universal,deep pleasure/contentment
sevdah,lyrical,sar,sweet aching longing
sevdalinka,lyrical,sar,traditional sevdah song
dert,lyrical,sar,heavy private sorrow
ćeif,lyrical,universal,whim/mood/pleasure
ćef,lyrical,universal,whim/mood
sokak,universal,sar,narrow street
avlija,universal,sar,courtyard
čaršija,universal,sar,bazaar/old town center
baksuz,universal,sar,bad luck/jinx
džaba,universal,universal,for free/in vain
komšija,universal,universal,neighbor
jastuk,universal,universal,pillow
jorgan,universal,universal,quilt
rakija,universal,universal,fruit brandy
kafa,universal,universal,coffee
sevap,universal,sar,virtue/merit
dušman,universal,universal,enemy
jok,universal,universal,no/nope
aman,universal,sar,oh Lord/exclamation
bona,street,sar,dude/man (Bosnian)
bolan,street,sar,buddy/man (Bosnian)
jaran,street,sar,buddy (Bosnian)
fol,universal,sar,style/show
haman,universal,sar,almost
švaler,street,bg,player/side piece
opp,drill,universal,opponent
kil,drill,universal,kill (drill import)
drop,drill,universal,drug drop/beat drop
kriza,drill,universal,crisis
plug,drill,universal,plug/connection
bloods,drill,universal,gang (imports)
wooh,drill,universal,ad-lib
bra,drill,universal,bro ad-lib
je,drill,universal,drill ad-lib
ha,drill,universal,drill ad-lib
skrrt,drill,universal,tire screech ad-lib
rah,drill,universal,drill ad-lib
lud,drill,universal,crazy
ludnica,drill,universal,wildness
steluje,drill,universal,aims (from "steel")
top,colloquial,universal,gun
šaržer,drill,universal,magazine
