artist,title,year,language,country,genre_tag,lyrics_url,source,status
Angellina,Origami,2022,Serbian,Serbia,electronic pop,https://eurovisionworld.com/national/serbia/pesma-za-evroviziju-22/angellina-origami,eurovisionworld,lyrics_found
Angellina,Lanac,2023,Serbian,Serbia,electronic pop,https://eurovisionworld.com/national/serbia/pesma-za-evroviziju-23/angellina-lanac,eurovisionworld,lyrics_found
Mimi Mercedez,Turbo žurka,2025,Serbian,Serbia,techno club,https://eurovisionworld.com/national/serbia/pesma-za-evroviziju-25/mimi-mercedez-turbo-zurka,eurovisionworld,lyrics_found
Saša Baša i Virtual Ritual,Elektroljubav,2024,Serbian,Serbia,electronic techno,https://www.youtube.com/watch?v=bRwUq_cH-Zs,youtube,lyrics_found
Iskaz,Trendseter,2025,Serbian,Serbia,pop,https://eurovisionworld.com/national/serbia/pesma-za-evroviziju-25/iskaz-trendseter,eurovisionworld,lyrics_found
Marko Bošnjak x Iva Lorens,Asfalt,2024,Bosnian,Bosnia,electronic pop,https://www.youtube.com/watch?v=Ihxiyv16D8s,youtube,lyrics_found
Angellina,Biram te,2025,Serbian,Serbia,pop club,https://tekstovi.net/2,5035,62689.html,tekstovi.net,lyrics_found
Angellina,Dijamanti,2025,Serbian,Serbia,pop,https://tekstomanija.com/angellina-x-brut-dijamanti,tekstomanija,lyrics_found
Angellina,Malo je,2026,Serbian,Serbia,pop,https://tekstovi.net/2,5035,75617.html,tekstovi.net,lyrics_found
Sara Jo,Muškarčina,2022,Serbian,Serbia,pop R&B,https://www.kudaveceras.rs/vesti/5060/sara-jo-muskarcina,kudaveceras,lyrics_found
